GeneID1	Symbol1	GeneID2	Symbol2
101928739	PIK3CA	219541	MED19
101928739	PIK3CA	26030	PLEKHG3
101928739	PIK3CA	129446	XIRP2
101928739	PIK3CA	644815	FAM83G
101928739	PIK3CA	23347	SMCHD1
101928739	PIK3CA	9124	PDLIM1
101928739	PIK3CA	4641	MYO1C
101928739	PIK3CA	5717	PSMD11
101928739	PIK3CA	5718	PSMD12
101928739	PIK3CA	8535	CBX4
101928739	PIK3CA	6874	TAF4
101928739	PIK3CA	1192	CLIC1
101928739	PIK3CA	8665	EIF3F
101928739	PIK3CA	3843	IPO5
101928739	PIK3CA	10284	SAP18
101928739	PIK3CA	5296	PIK3R2
101928739	PIK3CA	10473	HMGN4
101928739	PIK3CA	51042	ZNF593
101928739	PIK3CA	3839	KPNA3
101928739	PIK3CA	3898	LAD1
101928739	PIK3CA	23481	PES1
101928739	PIK3CA	10199	MPHOSPH10
101928739	PIK3CA	10528	NOP56
101928739	PIK3CA	1654	DDX3X
101928739	PIK3CA	3491	CCN1
101928739	PIK3CA	6319	SCD
101928739	PIK3CA	11316	COPE
101928739	PIK3CA	8943	AP3D1
101928739	PIK3CA	1105	CHD1
101928739	PIK3CA	10419	PRMT5
101928739	PIK3CA	4659	PPP1R12A
101928739	PIK3CA	23350	U2SURP
101928739	PIK3CA	10095	ARPC1B
101928739	PIK3CA	10094	ARPC3
101928739	PIK3CA	6183	MRPS12
101928739	PIK3CA	3149	HMGB3
101928739	PIK3CA	8664	EIF3D
101928739	PIK3CA	8667	EIF3H
101928739	PIK3CA	1665	DHX15
101928739	PIK3CA	26037	SIPA1L1
101928739	PIK3CA	5709	PSMD3
101928739	PIK3CA	9092	SART1
101928739	PIK3CA	6885	MAP3K7
101928739	PIK3CA	9521	EEF1E1
101928739	PIK3CA	10236	HNRNPR
101928739	PIK3CA	9129	PRPF3
101928739	PIK3CA	8562	DENR
101928739	PIK3CA	7756	ZNF207
101928739	PIK3CA	81	ACTN4
101928739	PIK3CA	27336	HTATSF1
101928739	PIK3CA	4430	MYO1B
101928739	PIK3CA	11051	NUDT21
101928739	PIK3CA	7541	ZBTB14
101928739	PIK3CA	10492	SYNCRIP
101928739	PIK3CA	1500	CTNND1
101928739	PIK3CA	5208	PFKFB2
101928739	PIK3CA	1736	DKC1
101928739	PIK3CA	9669	EIF5B
101928739	PIK3CA	8721	EDF1
101928739	PIK3CA	10294	DNAJA2
101928739	PIK3CA	9555	MACROH2A1
101928739	PIK3CA	2317	FLNB
101928739	PIK3CA	55660	PRPF40A
101928739	PIK3CA	11168	PSIP1
101928739	PIK3CA	10772	SRSF10
101928739	PIK3CA	23451	SF3B1
101928739	PIK3CA	23020	SNRNP200
101928739	PIK3CA	5495	PPM1B
101928739	PIK3CA	8666	EIF3G
101928739	PIK3CA	5716	PSMD10
101928739	PIK3CA	8293	SERF1A
101928739	PIK3CA	728492	SERF1B
101928739	PIK3CA	22826	DNAJC8
101928739	PIK3CA	10285	SMNDC1
101928739	PIK3CA	26156	RSL1D1
101928739	PIK3CA	9219	MTA2
101928739	PIK3CA	4642	MYO1D
101928739	PIK3CA	24148	PRPF6
101928739	PIK3CA	285527	FRYL
101928739	PIK3CA	9406	ZRANB2
101928739	PIK3CA	51747	LUC7L3
101928739	PIK3CA	10527	IPO7
101928739	PIK3CA	2709	GJB5
101928739	PIK3CA	10569	SLU7
101928739	PIK3CA	6840	SVIL
101928739	PIK3CA	10898	CPSF4
101928739	PIK3CA	9532	BAG2
101928739	PIK3CA	51060	TXNDC12
101928739	PIK3CA	3939	LDHA
101928739	PIK3CA	1356	CP
101928739	PIK3CA	1956	EGFR
101928739	PIK3CA	3240	HP
101928739	PIK3CA	718	C3
101928739	PIK3CA	4000	LMNA
101928739	PIK3CA	2266	FGG
101928739	PIK3CA	1476	CSTB
101928739	PIK3CA	301	ANXA1
101928739	PIK3CA	338	APOB
101928739	PIK3CA	5621	PRNP
101928739	PIK3CA	3848	KRT1
101928739	PIK3CA	2597	GAPDH
101928739	PIK3CA	3315	HSPB1
101928739	PIK3CA	6184	RPN1
101928739	PIK3CA	2771	GNAI2
101928739	PIK3CA	3150	HMGN1
101928739	PIK3CA	5055	SERPINB2
101928739	PIK3CA	292	SLC25A5
101928739	PIK3CA	9636	ISG15
101928739	PIK3CA	1965	EIF2S1
101928739	PIK3CA	3151	HMGN2
101928739	PIK3CA	6181	RPLP2
101928739	PIK3CA	3875	KRT18
101928739	PIK3CA	2934	GSN
101928739	PIK3CA	6277	S100A6
101928739	PIK3CA	2023	ENO1
101928739	PIK3CA	4869	NPM1
101928739	PIK3CA	7170	TPM3
101928739	PIK3CA	5034	P4HB
101928739	PIK3CA	3005	H1-0
101928739	PIK3CA	302	ANXA2
101928739	PIK3CA	203068	TUBB
101928739	PIK3CA	5216	PFN1
101928739	PIK3CA	2058	EPRS1
101928739	PIK3CA	3320	HSP90AA1
101928739	PIK3CA	3183	HNRNPC
101928739	PIK3CA	7057	THBS1
101928739	PIK3CA	6520	SLC3A2
101928739	PIK3CA	3326	HSP90AB1
101928739	PIK3CA	6734	SRPRA
101928739	PIK3CA	6625	SNRNP70
101928739	PIK3CA	6218	RPS17
101928739	PIK3CA	2773	GNAI3
101928739	PIK3CA	6626	SNRPA
101928739	PIK3CA	2247	FGF2
101928739	PIK3CA	2950	GSTP1
101928739	PIK3CA	3956	LGALS1
101928739	PIK3CA	3146	HMGB1
101928739	PIK3CA	7168	TPM1
101928739	PIK3CA	1211	CLTA
101928739	PIK3CA	1267	CNP
101928739	PIK3CA	83871	RAB34
101928739	PIK3CA	51082	POLR1D
101928739	PIK3CA	3008	H1-4
101928739	PIK3CA	7295	TXN
101928739	PIK3CA	3309	HSPA5
101928739	PIK3CA	3312	HSPA8
101928739	PIK3CA	7150	TOP1
101928739	PIK3CA	26986	PABPC1
101928739	PIK3CA	5111	PCNA
101928739	PIK3CA	3615	IMPDH2
101928739	PIK3CA	5744	PTHLH
101928739	PIK3CA	87	ACTN1
101928739	PIK3CA	2547	XRCC6
101928739	PIK3CA	7520	XRCC5
101928739	PIK3CA	6050	RNH1
101928739	PIK3CA	1938	EEF2
101928739	PIK3CA	9601	PDIA4
101928739	PIK3CA	3936	LCP1
101928739	PIK3CA	5358	PLS3
101928739	PIK3CA	2963	GTF2F2
101928739	PIK3CA	5315	PKM
101928739	PIK3CA	7184	HSP90B1
101928739	PIK3CA	3191	HNRNPL
101928739	PIK3CA	1615	DARS1
101928739	PIK3CA	3728	JUP
101928739	PIK3CA	4830	NME1
101928739	PIK3CA	6187	RPS2
101928739	PIK3CA	1832	DSP
101928739	PIK3CA	960	CD44
101928739	PIK3CA	3691	ITGB4
101928739	PIK3CA	3009	H1-5
101928739	PIK3CA	3007	H1-3
101928739	PIK3CA	3006	H1-2
101928739	PIK3CA	488	ATP2A2
101928739	PIK3CA	8531	YBX3
101928739	PIK3CA	3159	HMGA1
101928739	PIK3CA	824	CAPN2
101928739	PIK3CA	1655	DDX5
101928739	PIK3CA	5702	PSMC3
101928739	PIK3CA	6950	TCP1
101928739	PIK3CA	6165	RPL35A
101928739	PIK3CA	378	ARF4
101928739	PIK3CA	6129	RPL7
101928739	PIK3CA	7936	NELFE
101928739	PIK3CA	6139	RPL17
101928739	PIK3CA	4691	NCL
101928739	PIK3CA	6737	TRIM21
101928739	PIK3CA	8894	EIF2S2
101928739	PIK3CA	689	BTF3
101928739	PIK3CA	4001	LMNB1
101928739	PIK3CA	984	CDK11B
101928739	PIK3CA	1465	CSRP1
101928739	PIK3CA	2316	FLNA
101928739	PIK3CA	4192	MDK
101928739	PIK3CA	5110	PCMT1
101928739	PIK3CA	2091	FBL
101928739	PIK3CA	3181	HNRNPA2B1
101928739	PIK3CA	867	CBL
101928739	PIK3CA	6917	TCEA1
101928739	PIK3CA	3655	ITGA6
101928739	PIK3CA	6421	SFPQ
101928739	PIK3CA	5479	PPIB
101928739	PIK3CA	6188	RPS3
101928739	PIK3CA	3716	JAK1
101928739	PIK3CA	191	AHCY
101928739	PIK3CA	1072	CFL1
101928739	PIK3CA	1975	EIF4B
101928739	PIK3CA	1933	EEF1B2
101928739	PIK3CA	4172	MCM3
101928739	PIK3CA	6206	RPS12
101928739	PIK3CA	6046	BRD2
101928739	PIK3CA	5682	PSMA1
101928739	PIK3CA	5685	PSMA4
101928739	PIK3CA	4478	MSN
101928739	PIK3CA	1656	DDX6
101928739	PIK3CA	11338	U2AF2
101928739	PIK3CA	6137	RPL13
101928739	PIK3CA	3148	HMGB2
101928739	PIK3CA	5725	PTBP1
101928739	PIK3CA	1937	EEF1G
101928739	PIK3CA	10971	YWHAQ
101928739	PIK3CA	6134	RPL10
101928739	PIK3CA	6117	RPA1
101928739	PIK3CA	328	APEX1
101928739	PIK3CA	790	CAD
101928739	PIK3CA	4134	MAP4
101928739	PIK3CA	821	CANX
101928739	PIK3CA	5295	PIK3R1
101928739	PIK3CA	6744	ITPRID2
101928739	PIK3CA	6273	S100A2
101928739	PIK3CA	1936	EEF1D
101928739	PIK3CA	4082	MARCKS
101928739	PIK3CA	9588	PRDX6
101928739	PIK3CA	6136	RPL12
101928739	PIK3CA	2923	PDIA3
101928739	PIK3CA	5518	PPP2R1A
101928739	PIK3CA	6249	CLIP1
101928739	PIK3CA	4144	MAT2A
