filename,if_plate_id,position,sample,status,locations,antibody,ensembl_ids,gene_names
/archive/10/10_G1_1_,10,G1,1,35,Plasma membrane,HPA006539,"ENSG00000059804,ENSG00000173262","SLC2A14,SLC2A3"
/archive/10/10_G1_2_,10,G1,2,35,Plasma membrane,HPA006539,"ENSG00000059804,ENSG00000173262","SLC2A14,SLC2A3"
/archive/13/13_E1_1_,13,E1,1,35,Nucleoplasm,HPA001221,ENSG00000100056,ESS2
/archive/13/13_E1_2_,13,E1,2,35,Nucleoplasm,HPA001221,ENSG00000100056,ESS2
/archive/17/17_B11_1_,17,B11,1,35,Cytosol,HPA006812,ENSG00000134248,LAMTOR5
/archive/17/17_B11_2_,17,B11,2,35,Cytosol,HPA006812,ENSG00000134248,LAMTOR5
/archive/20/20_B5_1_,20,B5,1,35,"Golgi apparatus,Nucleoplasm",HPA007856,ENSG00000060339,CCAR1
/archive/20/20_B5_2_,20,B5,2,35,"Golgi apparatus,Nucleoplasm",HPA007856,ENSG00000060339,CCAR1
/archive/29/29_D4_1_,29,D4,1,35,"Golgi apparatus,Vesicles",HPA002834,ENSG00000095303,PTGS1
/archive/29/29_D4_2_,29,D4,2,35,"Golgi apparatus,Vesicles",HPA002834,ENSG00000095303,PTGS1
/archive/35/35_A5_1_,35,A5,1,35,Nucleoplasm,HPA001634,ENSG00000086589,RBM22
/archive/35/35_A5_2_,35,A5,2,35,Nucleoplasm,HPA001634,ENSG00000086589,RBM22
/archive/38/38_E3_1_,38,E3,1,35,Nucleoplasm,HPA001176,ENSG00000185246,PRPF39
/archive/38/38_E3_2_,38,E3,2,35,Nucleoplasm,HPA001176,ENSG00000185246,PRPF39
/archive/47/47_A2_1_,47,A2,1,35,Cytosol,HPA008706,ENSG00000074603,DPP8
/archive/47/47_A2_2_,47,A2,2,35,Cytosol,HPA008706,ENSG00000074603,DPP8
/archive/53/53_E10_1_,53,E10,1,35,Nucleoplasm,HPA001233,ENSG00000275052,PPP4R3B
/archive/53/53_E10_2_,53,E10,2,35,Nucleoplasm,HPA001233,ENSG00000275052,PPP4R3B
/archive/56/56_A8_1_,56,A8,1,35,"Golgi apparatus,Vesicles",HPA003734,"ENSG00000083750,ENSG00000155876","RRAGA,RRAGB"
/archive/56/56_A8_2_,56,A8,2,35,"Golgi apparatus,Vesicles",HPA003734,"ENSG00000083750,ENSG00000155876","RRAGA,RRAGB"
/archive/73/73_B3_1_,73,B3,1,35,"Nucleoplasm,Vesicles",HPA004126,ENSG00000116586,LAMTOR2
/archive/73/73_B3_2_,73,B3,2,35,"Nucleoplasm,Vesicles",HPA004126,ENSG00000116586,LAMTOR2
/archive/76/76_G4_1_,76,G4,1,35,"Golgi apparatus,Vesicles",HPA002997,ENSG00000149357,LAMTOR1
/archive/76/76_G4_2_,76,G4,2,35,"Golgi apparatus,Vesicles",HPA002997,ENSG00000149357,LAMTOR1
/archive/90/90_H5_1_,90,H5,1,35,Nucleoplasm,HPA011361,ENSG00000096401,CDC5L
/archive/90/90_H5_2_,90,H5,2,35,Nucleoplasm,HPA011361,ENSG00000096401,CDC5L
/archive/91/91_A11_1_,91,A11,1,35,Nucleoplasm,HPA004742,ENSG00000132792,CTNNBL1
/archive/91/91_A11_2_,91,A11,2,35,Nucleoplasm,HPA004742,ENSG00000132792,CTNNBL1
/archive/111/111_C4_1_,111,C4,1,35,"Cytosol,Nucleoplasm",HPA006465,ENSG00000122882,ECD
/archive/111/111_C4_2_,111,C4,2,35,"Cytosol,Nucleoplasm",HPA006465,ENSG00000122882,ECD
/archive/139/139_F12_1_,139,F12,1,35,Nucleoplasm,HPA017335,ENSG00000003756,RBM5
/archive/139/139_F12_2_,139,F12,2,35,Nucleoplasm,HPA017335,ENSG00000003756,RBM5
/archive/145/145_F5_1_,145,F5,1,35,Nucleoplasm,HPA018011,ENSG00000003756,RBM5
/archive/145/145_F5_2_,145,F5,2,35,Nucleoplasm,HPA018011,ENSG00000003756,RBM5
/archive/151/151_A11_1_,151,A11,1,35,"Cytosol,Nucleoplasm",HPA018852,ENSG00000182326,C1S
/archive/151/151_A11_2_,151,A11,2,35,"Cytosol,Nucleoplasm",HPA018852,ENSG00000182326,C1S
/archive/185/185_C1_1_,185,C1,1,35,Nuclear bodies,HPA019360,ENSG00000113593,PPWD1
/archive/185/185_C1_2_,185,C1,2,35,Nuclear bodies,HPA019360,ENSG00000113593,PPWD1
/archive/185/185_G1_1_,185,G1,1,35,Cytosol,HPA019051,ENSG00000108091,CCDC6
/archive/185/185_G1_2_,185,G1,2,35,Cytosol,HPA019051,ENSG00000108091,CCDC6
/archive/197/197_E10_1_,197,E10,1,35,"Cytosol,Nucleoplasm",HPA024754,ENSG00000198783,ZNF830
/archive/197/197_E10_2_,197,E10,2,35,"Cytosol,Nucleoplasm",HPA024754,ENSG00000198783,ZNF830
/archive/214/214_A12_1_,214,A12,1,35,Nucleoplasm,HPA027211,ENSG00000198783,ZNF830
/archive/214/214_A12_2_,214,A12,2,35,Nucleoplasm,HPA027211,ENSG00000198783,ZNF830
