antibody,ensembl_ids,gene_names,atlas_name,locations,n_location
HPA048645,ENSG00000131043,AAR2,U-2 OS,Cytosol,1
HPA065685,"ENSG00000105583,ENSG00000269590","AC010422.5,WDR83OS",U-2 OS,"Endoplasmic reticulum,Nuclear membrane",2
HPA055647,ENSG00000021776,AQR,U-2 OS,Nucleoplasm,1
HPA050111,ENSG00000189114,BLOC1S3,U-2 OS,Golgi apparatus,1
HPA043840,ENSG00000186222,BLOC1S4,U-2 OS,Vesicles,1
HPA077525,ENSG00000188428,BLOC1S5,U-2 OS,Vesicles,1
HPA018852,ENSG00000182326,C1S,U-2 OS,"Cytosol,Nucleoplasm",2
HPA023708,"ENSG00000189376,ENSG00000259305","C8orf76,ZHX1-C8orf76",U-2 OS,Nucleoplasm,1
HPA048513,ENSG00000060339,CCAR1,U-2 OS,Nucleoplasm,1
HPA056814,ENSG00000160799,CCDC12,U-2 OS,Nucleoplasm,1
HPA051791,ENSG00000176714,CCDC121,U-2 OS,"Actin filaments,Cytosol",2
HPA041708,ENSG00000007080,CCDC124,U-2 OS,"Cytosol,Plasma membrane",2
HPA041878,ENSG00000183323,CCDC125,U-2 OS,Intermediate filaments,1
HPA010969,ENSG00000169193,CCDC126,U-2 OS,Golgi apparatus,1
HPA045052,ENSG00000164366,CCDC127,U-2 OS,"Nucleoli fibrillar center,Nucleoplasm",2
HPA022974,ENSG00000141519,CCDC40,U-2 OS,Microtubules,1
HPA019051,ENSG00000108091,CCDC6,U-2 OS,Cytosol,1
HPA061548,ENSG00000104983,CCDC61,U-2 OS,"Cytosol,Nucleoplasm",2
HPA039021,ENSG00000130783,CCDC62,U-2 OS,"Nucleoplasm,Plasma membrane",2
HPA061568,ENSG00000173093,CCDC63,U-2 OS,Nuclear bodies,1
HPA057573,ENSG00000139537,CCDC65,U-2 OS,Centriolar satellite,1
HPA044185,ENSG00000180376,CCDC66,U-2 OS,Midbody ring,1
HPA052896,ENSG00000198624,CCDC69,U-2 OS,"Actin filaments,Plasma membrane",2
HPA043572,ENSG00000142039,CCDC97,U-2 OS,Nucleoplasm,1
HPA046620,ENSG00000168438,CDC40,U-2 OS,Nucleoplasm,1
HPA011361,ENSG00000096401,CDC5L,U-2 OS,Nucleoplasm,1
HPA004742,ENSG00000132792,CTNNBL1,U-2 OS,Nucleoplasm,1
HPA036890,ENSG00000095485,CWF19L1,U-2 OS,"Golgi apparatus,Nucleoplasm",2
HPA038166,ENSG00000152404,CWF19L2,U-2 OS,"Cytosol,Nuclear speckles",2
HPA039037,ENSG00000174243,DDX23,U-2 OS,"Nucleoli,Nucleoplasm",2
HPA057501,ENSG00000145833,DDX46,U-2 OS,Nuclear speckles,1
HPA062700,ENSG00000101452,DHX35,U-2 OS,Nuclear bodies,1
HPA040914,ENSG00000104129,DNAJC17,U-2 OS,Nucleoplasm,1
HPA008706,ENSG00000074603,DPP8,U-2 OS,Cytosol,1
HPA006465,ENSG00000122882,ECD,U-2 OS,"Cytosol,Nucleoplasm",2
HPA001221,ENSG00000100056,ESS2,U-2 OS,Nucleoplasm,1
HPA039620,ENSG00000110074,FOXRED1,U-2 OS,Mitochondria,1
HPA057114,ENSG00000092208,GEMIN2,U-2 OS,"Nuclear bodies,Nucleoli,Nucleoplasm",3
HPA037393,ENSG00000082516,GEMIN5,U-2 OS,"Cytosol,Nuclear bodies",2
HPA052075,ENSG00000142252,GEMIN7,U-2 OS,"Cytosol,Nucleoplasm",2
HPA028613,ENSG00000046647,GEMIN8,U-2 OS,"Cytosol,Nucleoplasm",2
HPA023131,ENSG00000250571,GLI4,U-2 OS,Cytokinetic bridge,1
HPA059818,ENSG00000167220,HDHD2,U-2 OS,Vesicles,1
